Nama Pemohon/Institusi,Emel,No. K/P (baru)/Polis/Tentera/No. Pasport,No. Telefon Bimbit,Declared Income,Savings,Investment (Stocks/Bonds),Gold (grams),Property (number),Profession,Location,Donation Frequency,Average Donation Amount,Fraud Label (Rule-Based)
Amirul bin bin Abdullah,amirul..abdullah41@yahoo.com,960212-30-1635,017-8326960,0.0,15796.94,0,280,3,Unemployed,Mont Kiara,11,1939.9,Fraud
Noraini binti Ahmad,noraini.ahmad41@yahoo.com,901104-28-5076,013-47147297,5586,10941.75,28457.05,0,0,Retired,Subang Jaya,3,2359.49,Not Fraud
Goh bin Zi Xuan,goh.zi.xuan67@outlook.my,990905-15-7661,013-26169715,5298,41587.46,0,0,0,Retired,Bangsar,2,1642.25,Not Fraud
Amirul bin Ali,amirul.ali2@msn.com,721120-48-7623,011-29179414,15835.98,45687.68,33979.41,0,0,Doctor,Cheras,11,4967.97,Not Fraud
Razak bin Singh,razak.singh81@gmail.com,060318-36-3537,010-13109591,5402.79,80527.99,0,0,1,Retired,Damansara Heights,1,4877.5,Not Fraud
Fatimah binti Ismail,fatimah.ismail4@gmail.com,810925-54-8762,010-9079914,24116.4,82385.4,0,186,2,Engineer,Kuala Lumpur City Centre,3,3139.37,Not Fraud
Ahmad bin Muhammad,ahmad.muhammad2@gmail.com,590123-08-6349,012-60746523,14994.56,21396.33,99889.65,0,0,Business Owner,Cheras,5,3884.68,Not Fraud
Siti binti Abdullah,siti.abdullah65@hotmail.com,550510-35-1292,017-06584584,10685.16,0,147533.71,0,0,IT Specialist,Cheras,9,1455.13,Not Fraud
Aishah binti Amirul,aishah.amirul28@msn.com,991010-10-7996,017-6533793,7558.31,4012.46,154977.06,0,0,Teacher,Damansara Heights,10,4547.38,Not Fraud
Syazwan bin Amirul,syazwan.amirul8@gmail.com,921226-42-8817,017-22305919,9501.76,0,15474.23,0,0,IT Specialist,Mont Kiara,1,705.76,Not Fraud
Hafiz bin Abdullah,hafiz.abdullah89@outlook.my,790608-49-9539,014-6776473,0.0,60578.7,122862.21,218,3,Unemployed,Cheras,3,3366.58,Fraud
Ravi bin Kumar,ravi.kumar78@outlook.my,590730-46-9275,012-6783338,9021,71556.25,62374.88,0,0,IT Specialist,Bangsar,12,2485.42,Not Fraud
Fatimah binti Ali,fatimah.ali20@outlook.my,580331-53-1264,017-17981669,29520,75148.82,165664.44,0,0,Engineer,Bangsar,4,4070.71,Not Fraud
Zainab binti Syazwan,zainab.syazwan81@yahoo.com,890414-13-9202,013-3515380,10007.05,90485.21,16288.18,0,0,Teacher,Cheras,9,2122.12,Not Fraud
Siti binti bin Abdullah,siti..abdullah47@gmail.com,990508-04-7604,013-8443654,10096.21,16456.23,188437.22,52,0,Accountant,Mont Kiara,4,814.9,Not Fraud
Hafiz bin Ali,hafiz.ali22@msn.com,980312-45-3953,010-43485907,10847,57193.05,0,1,0,Accountant,Petaling Jaya,6,4413.13,Not Fraud
Lim binti Yee Von,lim.yee.von10@outlook.my,840616-45-2342,014-4548388,13296,55367.06,12411.85,68,0,Accountant,Subang Jaya,7,4236.49,Not Fraud
Lee bin Zi Xuan,lee.zi.xuan74@msn.com,011113-01-8447,010-4329959,2074.14,25956.84,104876.33,0,0,Retired,Kuala Lumpur City Centre,2,4734.67,Fraud
Razak bin Ali,razak.ali82@outlook.my,510715-34-7167,019-03610896,8261.51,92226.25,46882.54,0,0,Teacher,Mont Kiara,3,1054.07,Not Fraud
Teoh bin Wei Jie,teoh.wei.jie26@gmail.com,650911-27-7385,017-6944651,5393,0,0,19,5,Sales Manager,Subang Jaya,2,296.0,Not Fraud
Amirul bin Razak,amirul.razak67@gmail.com,551011-13-3921,010-5736899,13483.3,6454.96,130778.69,0,0,IT Specialist,Damansara Heights,9,4887.33,Not Fraud
Lim binti Xin Yi,lim.xin.yi16@yahoo.com,870818-01-8212,011-98276684,21127.78,49554.77,179212.67,177,0,Doctor,Damansara Heights,8,1488.71,Not Fraud
Noraini binti Singh,noraini.singh2@outlook.my,791226-29-2726,019-1984682,24169,0,0,384,1,Doctor,Subang Jaya,11,1354.81,Not Fraud
Lim binti Mei Ling,lim.mei.ling73@msn.com,630907-09-1896,019-86422165,19093,80835.57,27.43,0,0,Engineer,Petaling Jaya,10,3913.9,Not Fraud
Lee bin Jia Hao,lee.jia.hao37@hotmail.com,840505-50-2559,012-14687173,14058.78,0,0,137,1,Sales Manager,Cheras,8,992.62,Not Fraud
Zainab binti binti Abdullah,zainab..abdullah37@yahoo.com,690202-07-3444,014-06741880,0,1028.87,44899.07,0,0,Unemployed,Subang Jaya,3,758.06,Not Fraud
Razak bin Syazwan,razak.syazwan9@yahoo.com,721112-38-5695,017-50354953,13543,77861.6,0,178,4,Teacher,Bangsar,9,1774.79,Not Fraud
Hafiz bin Singh,hafiz.singh4@hotmail.com,920331-43-8531,013-3969560,8284,45050.32,0,0,0,Accountant,Subang Jaya,4,1453.34,Not Fraud
Nur binti binti Abdullah,nur..abdullah63@outlook.my,841016-58-8246,011-33351641,24059.69,85150.4,0,42,5,Doctor,Cheras,10,191.37,Not Fraud
Teoh binti Yee Von,teoh.yee.von56@yahoo.com,861030-23-6500,014-37754623,9702.21,2484.95,101318.14,0,3,Accountant,Cheras,4,2561.74,Not Fraud
Lim bin Ah Meng,lim.ah.meng97@outlook.my,960729-36-7533,014-78104280,12290.92,92531.81,0,0,0,Engineer,Cheras,6,3869.33,Not Fraud
Fatimah binti Amirul,fatimah.amirul18@outlook.my,780313-38-7462,017-62960059,6727,0,0,0,0,Sales Manager,Petaling Jaya,12,4464.6,Not Fraud
Amirul bin Syazwan,amirul.syazwan85@msn.com,771008-11-4179,014-96765830,12202.23,0,36839.79,0,0,Sales Manager,Kuala Lumpur City Centre,5,3040.05,Not Fraud
Lee bin Kok Leong,lee.kok.leong17@gmail.com,670706-58-1521,012-2822017,15655.5,68734.34,0,0,0,IT Specialist,Damansara Heights,11,1737.95,Not Fraud
Amirul bin Ali,amirul.ali30@yahoo.com,630710-29-6265,016-1326301,12604,6862.84,167389.74,0,0,Sales Manager,Subang Jaya,9,3853.38,Not Fraud
Lee bin Ah Meng,lee.ah.meng68@yahoo.com,700510-04-8375,010-2012803,8911.84,36313.92,0,88,0,Sales Manager,Mont Kiara,2,4354.63,Not Fraud
Ismail bin Razak,ismail.razak71@yahoo.com,950404-54-3351,016-5926864,19509.83,0,147902.55,0,0,Business Owner,Kuala Lumpur City Centre,1,3855.01,Not Fraud
Sharifah binti Singh,sharifah.singh31@hotmail.com,950904-52-7556,013-6659057,16186.1,19333.3,142283.04,0,0,Sales Manager,Damansara Heights,8,68.48,Not Fraud
Fatimah binti Singh,fatimah.singh40@hotmail.com,580827-33-1662,010-4745851,6477.03,49452.97,160723.49,0,0,Farmer,Cheras,10,4201.55,Not Fraud
Teoh binti Pei Shan,teoh.pei.shan58@gmail.com,760229-14-1314,019-9758846,28240.25,82806.52,0,51,0,Engineer,Damansara Heights,8,3591.64,Not Fraud
Sharifah binti Khairul,sharifah.khairul16@msn.com,651011-29-1622,017-03924437,3465,68476.53,14034.7,0,0,Farmer,Subang Jaya,4,1836.42,Not Fraud
Abdullah bin Muhammad,abdullah.muhammad63@yahoo.com,910824-58-6731,013-8505027,3255.88,88923.02,34202.0,0,5,Retired,Damansara Heights,4,2841.35,Fraud
Tan bin Wei Jie,tan.wei.jie94@msn.com,030308-15-7899,018-48758280,13668,0,91400.58,417,0,Doctor,Petaling Jaya,6,3275.47,Not Fraud
Goh bin Ah Meng,goh.ah.meng28@hotmail.com,710701-50-5439,017-8157409,0.0,69995.33,31539.2,375,0,Unemployed,Damansara Heights,2,4817.52,Fraud
Fatimah binti Khan,fatimah.khan47@outlook.my,040915-14-7132,010-5011584,12871.9,54164.78,7829.5,0,0,Teacher,Mont Kiara,2,3993.9,Not Fraud
Wong bin Wei Kang,wong.wei.kang43@outlook.my,900709-44-1043,016-1954796,7744,0,30690.55,0,0,Sales Manager,Petaling Jaya,11,4224.23,Not Fraud
Ong bin Wei Kang,ong.wei.kang97@hotmail.com,670908-29-3663,012-3640537,13164.92,95014.43,0,148,0,Teacher,Damansara Heights,10,1177.89,Not Fraud
Zainab binti Syazwan,zainab.syazwan44@gmail.com,860316-11-8916,018-6154912,14456,78955.99,190524.77,0,2,Business Owner,Subang Jaya,9,998.02,Not Fraud
Ismail bin bin Abdullah,ismail..abdullah70@yahoo.com,990902-02-2053,012-7473894,7464,90496.44,10622.22,441,0,Sales Manager,Petaling Jaya,6,1917.61,Not Fraud
Amirul bin binti Abdullah,amirul..abdullah68@gmail.com,511020-12-9983,011-81295962,7686,68914.65,0,207,0,Accountant,Bangsar,2,2155.17,Not Fraud
Noraini binti binti Abdullah,noraini..abdullah6@hotmail.com,851107-58-6586,017-8830863,11215.92,16011.2,181698.14,0,0,Accountant,Damansara Heights,12,2092.08,Not Fraud
Suresh bin Saravanan,suresh.saravanan7@outlook.my,971201-07-3001,018-84318404,4726,24150.31,0,0,0,Retired,Petaling Jaya,12,4460.72,Not Fraud
Razak bin binti Abdullah,razak..abdullah9@msn.com,720812-12-5145,013-85180911,11205.81,43649.65,0,63,0,Sales Manager,Mont Kiara,12,2967.73,Not Fraud
Amirul bin Razak,amirul.razak30@hotmail.com,850721-28-6981,011-7479225,16931.74,4846.38,35438.86,0,0,Doctor,Kuala Lumpur City Centre,2,4029.42,Not Fraud
Yap bin Jun Jie,yap.jun.jie53@outlook.my,550709-09-2705,012-55557835,3938,35768.39,0,0,0,Farmer,Subang Jaya,8,428.37,Not Fraud
Fatimah binti Ismail,fatimah.ismail96@msn.com,581219-04-6078,017-43523971,11586.62,15614.13,115027.35,0,2,Business Owner,Kuala Lumpur City Centre,3,645.43,Not Fraud
Chua bin Wei Jie,chua.wei.jie94@gmail.com,561013-57-4831,014-6177184,18417.82,75657.21,179021.57,327,0,IT Specialist,Kuala Lumpur City Centre,6,3140.5,Not Fraud
Ahmad bin Abdullah,ahmad.abdullah88@gmail.com,741129-58-8831,014-84257984,14173.84,62210.27,69323.71,0,0,Teacher,Damansara Heights,6,1559.15,Not Fraud
Farah binti Hafiz,farah.hafiz69@yahoo.com,640428-54-7742,010-88247730,11327.42,69023.09,191871.45,0,2,Doctor,Kuala Lumpur City Centre,11,1775.48,Not Fraud
Tan bin Ah Meng,tan.ah.meng79@hotmail.com,790708-34-3159,014-18653412,6311.25,90907.1,105614.82,0,0,Accountant,Mont Kiara,5,4044.46,Fraud
Ahmad bin Singh,ahmad.singh12@gmail.com,720627-09-2583,017-46348478,18163,0,0,0,0,Doctor,Bangsar,5,4992.39,Not Fraud
Ng bin Ah Meng,ng.ah.meng6@gmail.com,030718-25-7353,013-7850163,4111.57,43353.45,50697.94,0,0,Farmer,Damansara Heights,7,618.94,Fraud
Khairul bin binti Abdullah,khairul..abdullah66@outlook.my,501023-43-7733,011-3781260,24070.51,36357.52,0,338,0,Engineer,Mont Kiara,3,4372.88,Not Fraud
Ng binti Xin Yi,ng.xin.yi99@hotmail.com,840208-07-4126,014-39647287,21873.69,20090.81,124532.08,0,1,Engineer,Kuala Lumpur City Centre,3,1793.88,Not Fraud
Muhammad bin Ismail,muhammad.ismail74@outlook.my,030604-42-1639,012-4911973,7784.85,35316.33,0,242,4,Sales Manager,Damansara Heights,11,158.28,Fraud
Syazwan bin Khairul,syazwan.khairul73@gmail.com,551223-07-8863,011-6002916,0,63233.07,164400.92,0,0,Unemployed,Petaling Jaya,3,3672.67,Fraud
Tan bin Wei Lun,tan.wei.lun84@msn.com,750819-12-3167,014-97581271,24797,35047.35,0,391,0,Business Owner,Subang Jaya,1,2851.05,Not Fraud
Ismail bin Ahmad,ismail.ahmad1@msn.com,810613-29-7203,011-80428324,8066,29039.84,124676.86,142,0,Teacher,Petaling Jaya,12,771.44,Not Fraud
Zainab binti Abdullah,zainab.abdullah52@yahoo.com,690911-28-7888,016-9020166,14117.01,32904.34,87860.5,0,1,Teacher,Kuala Lumpur City Centre,6,3589.24,Not Fraud
Khairul bin Ismail,khairul.ismail88@gmail.com,780526-11-2631,019-1654272,13496,10548.81,140548.4,336,0,Business Owner,Bangsar,2,3656.83,Not Fraud
Aishah binti Amirul,aishah.amirul29@gmail.com,810828-25-7640,017-60399587,5994,83044.49,153347.59,0,0,Accountant,Petaling Jaya,2,3524.59,Not Fraud
Siti binti binti Abdullah,siti..abdullah55@yahoo.com,000204-35-3582,013-8424488,14012.01,25827.1,0,70,0,Accountant,Cheras,7,1100.08,Not Fraud
Ali bin Hafiz,ali.hafiz34@outlook.my,631204-42-8011,012-21465457,6857,4726.51,0,364,0,Farmer,Bangsar,3,3777.79,Not Fraud
Vanitha binti Kumar,vanitha.kumar61@gmail.com,870517-44-6922,018-2791057,6892.85,99108.4,0,420,0,Teacher,Cheras,12,2596.22,Not Fraud
Amirul bin Ismail,amirul.ismail40@gmail.com,920112-22-6047,013-87838982,32139.63,0,0,344,0,Business Owner,Kuala Lumpur City Centre,12,3137.67,Not Fraud
Chua binti Hui Xin,chua.hui.xin19@hotmail.com,640403-39-3430,014-48586991,25801.71,3774.1,199600.78,69,3,Engineer,Kuala Lumpur City Centre,4,2164.94,Not Fraud
Teoh binti Hui Xin,teoh.hui.xin14@outlook.my,990610-28-7434,013-68290175,23696.94,58909.0,136590.01,228,5,Doctor,Mont Kiara,4,247.84,Not Fraud
Abdullah bin bin Abdullah,abdullah..abdullah92@yahoo.com,550710-57-4785,014-6354930,25633.69,23528.32,0,0,5,Engineer,Mont Kiara,2,779.71,Not Fraud
Ng binti Jia Yi,ng.jia.yi38@msn.com,681011-34-9878,014-24466043,15410.97,0,92974.1,0,0,Accountant,Kuala Lumpur City Centre,1,385.26,Not Fraud
Khairul bin Muhammad,khairul.muhammad61@msn.com,630523-53-8045,011-79056942,5889,43459.98,140144.66,0,1,Sales Manager,Subang Jaya,3,351.51,Not Fraud
Goh binti Yee Von,goh.yee.von23@hotmail.com,560125-14-4064,014-8107404,4939,0,0,0,0,Farmer,Petaling Jaya,7,3644.07,Not Fraud
Nur binti Syazwan,nur.syazwan86@gmail.com,751122-37-9836,014-5389746,4183.29,46831.12,31042.81,0,0,Retired,Cheras,11,2599.4,Not Fraud
Amirul bin Singh,amirul.singh85@yahoo.com,660923-56-9471,016-74258747,15852.4,94279.91,141583.71,0,0,Accountant,Cheras,3,1954.18,Not Fraud
Amirul bin Khan,amirul.khan23@yahoo.com,030409-21-7729,012-97009684,3041.18,29410.85,0,0,5,Farmer,Mont Kiara,5,1187.76,Fraud
Muhammad bin Khan,muhammad.khan50@yahoo.com,690220-22-7655,016-3900219,6847,24690.78,149964.84,177,0,Accountant,Petaling Jaya,3,845.79,Fraud
Ismail bin Khairul,ismail.khairul26@gmail.com,581010-31-8407,019-0741496,32882.16,77169.36,151074.75,0,2,Doctor,Mont Kiara,3,4529.22,Not Fraud
Ahmad bin Syazwan,ahmad.syazwan99@outlook.my,700921-52-4913,019-79858765,0.0,83257.82,0,0,0,Unemployed,Kuala Lumpur City Centre,11,2585.05,Fraud
Noraini binti Ali,noraini.ali1@yahoo.com,780803-28-3974,010-2905619,9644,0,22084.21,0,4,Sales Manager,Petaling Jaya,8,4144.13,Not Fraud
Ong binti Pei Shan,ong.pei.shan1@hotmail.com,661010-45-8724,019-2191489,10337.52,39779.84,167519.26,18,0,Sales Manager,Kuala Lumpur City Centre,3,3465.6,Not Fraud
Goh bin Wei Kang,goh.wei.kang4@yahoo.com,990412-30-4273,011-0425964,19059,20716.29,0,0,0,Doctor,Bangsar,5,57.69,Not Fraud
Nur binti Ali,nur.ali72@gmail.com,840415-01-9540,017-4537448,9610,48843.25,39560.81,257,0,Accountant,Bangsar,7,1097.48,Not Fraud
Zainab binti Singh,zainab.singh97@outlook.my,870218-08-6108,014-71646008,0.0,96409.0,95745.41,226,0,Unemployed,Cheras,7,3121.33,Fraud
Azizah binti bin Abdullah,azizah..abdullah95@yahoo.com,741007-04-8218,019-0733073,19674,39495.05,0,0,0,Engineer,Bangsar,3,3705.43,Not Fraud
Yap binti Hui Xin,yap.hui.xin70@gmail.com,500508-24-3758,012-43707511,11990.13,75599.41,109440.75,0,0,Sales Manager,Damansara Heights,5,2128.65,Not Fraud
Tan bin Jia Hao,tan.jia.hao73@gmail.com,601002-08-7963,011-3364907,6800,12383.82,95069.61,0,0,Teacher,Subang Jaya,4,4857.29,Not Fraud
Farah binti Muhammad,farah.muhammad90@outlook.my,761009-49-4378,011-19165025,10188,45640.88,0,354,0,Sales Manager,Subang Jaya,3,793.16,Not Fraud
Ali bin Khairul,ali.khairul8@msn.com,070315-15-9555,010-6882952,8546,11788.49,161516.29,0,0,Business Owner,Subang Jaya,1,3187.56,Fraud
Abdullah bin Syazwan,abdullah.syazwan96@gmail.com,960206-36-5403,019-6753680,5533,14256.86,106601.36,0,0,Sales Manager,Petaling Jaya,12,1654.73,Not Fraud
Muhammad bin Syazwan,muhammad.syazwan67@hotmail.com,550223-22-1493,012-8413093,2383.24,81452.2,130021.52,0,0,Retired,Kuala Lumpur City Centre,3,676.14,Fraud
Farah binti Ahmad,farah.ahmad12@yahoo.com,870106-30-5124,013-4805333,16525.87,70216.32,164811.99,0,0,Business Owner,Damansara Heights,4,2700.7,Not Fraud
Ali bin Ismail,ali.ismail17@msn.com,790420-38-3247,017-96981564,0,36668.94,11668.24,6,0,Unemployed,Subang Jaya,5,665.01,Not Fraud
Lim binti Pei Shan,lim.pei.shan25@gmail.com,571130-09-6664,016-25614671,2907.2,76985.75,88137.63,0,0,Farmer,Cheras,9,3011.96,Fraud
Ng binti Xin Yi,ng.xin.yi9@outlook.my,850806-49-5678,018-40407852,14877,96168.52,108848.77,61,0,IT Specialist,Petaling Jaya,11,2933.97,Not Fraud
Fatimah binti Amirul,fatimah.amirul6@yahoo.com,851118-06-9974,011-2002171,9060,79414.57,139762.06,0,3,Sales Manager,Petaling Jaya,9,4576.23,Not Fraud
Khairul bin Khairul,khairul.khairul61@outlook.my,550731-55-6401,019-23744670,4685,7062.07,0,0,0,Retired,Subang Jaya,9,493.92,Not Fraud
Hafiz bin Ahmad,hafiz.ahmad22@gmail.com,560904-43-9901,010-28207816,4217,85384.64,68406.71,0,0,Farmer,Petaling Jaya,3,223.23,Not Fraud
Nur binti Razak,nur.razak20@yahoo.com,610326-29-2480,012-90800454,13902.89,0,81592.13,73,0,Teacher,Kuala Lumpur City Centre,4,2367.46,Not Fraud
Azizah binti bin Abdullah,azizah..abdullah34@hotmail.com,510612-13-7030,013-70596492,15391.49,73526.67,0,0,4,Engineer,Cheras,3,1134.11,Not Fraud
Muhammad bin Amirul,muhammad.amirul12@msn.com,700730-04-9543,012-28631058,30064.91,58096.08,117136.76,0,3,Business Owner,Damansara Heights,9,147.62,Not Fraud
Nur binti Ismail,nur.ismail55@yahoo.com,820218-56-8756,013-4571266,25452.07,38088.37,160625.31,0,0,Business Owner,Mont Kiara,8,659.3,Not Fraud
Teoh bin Ah Meng,teoh.ah.meng13@yahoo.com,690816-05-1263,010-7180718,4445.26,87180.39,0,0,0,Retired,Cheras,6,655.7,Not Fraud
Chua bin Jia Hao,chua.jia.hao85@msn.com,840120-08-2467,013-34308702,26784.04,6244.54,49180.47,0,0,Business Owner,Mont Kiara,12,1875.52,Not Fraud
Razak bin Khan,razak.khan42@hotmail.com,020731-35-2635,018-9223963,0,41536.18,39772.11,265,0,Unemployed,Petaling Jaya,8,1035.22,Fraud
Syazwan bin Abdullah,syazwan.abdullah51@hotmail.com,780212-52-7417,016-5137327,15304.33,27345.66,195213.7,0,4,IT Specialist,Damansara Heights,11,2985.39,Not Fraud
Hafiz bin Abdullah,hafiz.abdullah80@gmail.com,760129-15-3443,010-57333811,9645.46,78536.96,174174.55,439,1,Sales Manager,Kuala Lumpur City Centre,7,58.22,Not Fraud
Vanitha binti Arun,vanitha.arun1@outlook.my,570107-55-3546,011-3742772,17177.14,35758.61,65356.61,371,5,Sales Manager,Mont Kiara,6,2370.54,Not Fraud
Khairul bin Razak,khairul.razak25@outlook.my,940930-06-4911,018-01354559,4808.23,2486.99,140245.04,0,5,Farmer,Damansara Heights,4,1055.12,Not Fraud
Zainab binti Abdullah,zainab.abdullah90@gmail.com,060121-29-8716,012-5465759,14675.91,0,0,0,2,IT Specialist,Cheras,1,3126.38,Not Fraud
Ali bin Hafiz,ali.hafiz29@outlook.my,620110-44-7347,010-07887096,2124.97,80352.82,126879.63,0,2,Retired,Damansara Heights,4,1001.65,Fraud
Amirul bin Singh,amirul.singh50@outlook.my,690726-23-5485,013-9619178,2427.4,16439.93,139841.75,0,0,Farmer,Cheras,6,2635.7,Fraud
Lee binti Jia Yi,lee.jia.yi51@hotmail.com,520629-39-5068,011-58768234,10028.94,0,87519.64,465,0,IT Specialist,Kuala Lumpur City Centre,7,50.87,Not Fraud
Syazwan bin bin Abdullah,syazwan..abdullah13@msn.com,760220-48-4363,016-91008263,0.0,9900.06,0,0,0,Unemployed,Damansara Heights,6,4272.78,Not Fraud
Lee binti Jia Yi,lee.jia.yi97@yahoo.com,900824-35-8764,011-27983064,18433.4,37291.06,5148.1,413,0,Engineer,Cheras,6,2252.51,Not Fraud
Ali bin Singh,ali.singh82@gmail.com,840221-39-9555,012-66003306,5583.37,0,57450.13,109,0,Retired,Cheras,9,4510.74,Not Fraud
Farah binti binti Abdullah,farah..abdullah82@msn.com,851017-40-1602,017-00514696,10798,75432.39,0,0,0,Accountant,Petaling Jaya,12,3984.63,Not Fraud
Fatimah binti Syazwan,fatimah.syazwan51@hotmail.com,940630-28-2794,014-82754691,2294,18442.08,0,379,0,Farmer,Petaling Jaya,9,3462.32,Fraud
Aishah binti Abdullah,aishah.abdullah91@msn.com,910218-30-2822,011-19578318,14455.13,73738.16,0,0,0,Teacher,Damansara Heights,11,3402.89,Not Fraud
Abdullah bin Syazwan,abdullah.syazwan50@outlook.my,740909-24-2163,019-08137566,11606,35877.13,152932.08,321,0,Sales Manager,Petaling Jaya,6,1589.66,Not Fraud
Azizah binti Khairul,azizah.khairul2@hotmail.com,041222-44-4268,019-11760286,0.0,22417.35,173275.13,0,2,Unemployed,Damansara Heights,11,527.19,Fraud
Ahmad bin Amirul,ahmad.amirul38@yahoo.com,841109-47-2713,017-7461948,27351.55,50786.29,92424.38,0,0,Engineer,Cheras,3,531.63,Not Fraud
Ng binti Pei Shan,ng.pei.shan82@gmail.com,841004-26-1058,010-5869877,12192.93,52735.26,2691.31,55,1,IT Specialist,Damansara Heights,11,631.69,Not Fraud
Razak bin Khairul,razak.khairul10@msn.com,891125-30-3883,016-67232901,6063,0,25981.41,11,4,Teacher,Bangsar,12,85.65,Not Fraud
Zainab binti Singh,zainab.singh90@hotmail.com,920101-46-3262,011-25303033,5921.13,0,0,16,0,Retired,Mont Kiara,5,4409.39,Not Fraud
Lim binti Xin Yi,lim.xin.yi7@msn.com,951006-01-7444,018-17715698,7885.73,73925.7,119625.48,0,0,Teacher,Kuala Lumpur City Centre,8,2533.75,Not Fraud
Ahmad bin Khairul,ahmad.khairul12@msn.com,930105-41-5185,016-4360378,10789.6,65500.88,0,0,3,Engineer,Damansara Heights,1,267.69,Fraud
Razak bin Ahmad,razak.ahmad90@hotmail.com,600428-03-5361,010-9047090,16538.49,59151.95,0,41,0,IT Specialist,Mont Kiara,2,4961.34,Not Fraud
Ali bin Hafiz,ali.hafiz70@msn.com,910110-24-5607,017-71928136,5437.7,44421.49,157535.3,457,0,Farmer,Mont Kiara,1,4963.93,Not Fraud
Zainab binti Khan,zainab.khan42@yahoo.com,620714-50-6654,010-52643328,2867,77268.3,0,0,0,Farmer,Petaling Jaya,6,2360.72,Fraud
Abdullah bin Muhammad,abdullah.muhammad18@outlook.my,810425-05-4307,016-16464878,0.0,90480.93,0,238,0,Unemployed,Cheras,10,559.25,Fraud
Nur binti Ahmad,nur.ahmad86@yahoo.com,670716-32-8464,011-5277604,5530,0,165423.42,0,1,Farmer,Bangsar,2,4718.65,Not Fraud
Ahmad bin Singh,ahmad.singh72@msn.com,830323-47-1013,019-12102840,9399.91,26128.63,129749.15,0,0,Accountant,Cheras,4,618.93,Not Fraud
Goh binti Yee Von,goh.yee.von3@outlook.my,541107-05-3376,019-1069952,0.0,98534.76,117261.09,23,0,Unemployed,Mont Kiara,4,1787.46,Fraud
Ismail bin Khairul,ismail.khairul65@outlook.my,981101-10-3649,016-54098325,8427.2,38248.27,136973.32,0,4,Teacher,Cheras,2,1534.01,Not Fraud
Fatimah binti Razak,fatimah.razak27@msn.com,010907-24-6340,014-23781781,27766.79,0,154494.74,0,0,Engineer,Kuala Lumpur City Centre,10,4028.98,Not Fraud
Razak bin binti Abdullah,razak..abdullah10@outlook.my,541203-01-6019,013-11824489,0,81953.5,0,0,0,Unemployed,Bangsar,3,2013.32,Not Fraud
Hafiz bin Abdullah,hafiz.abdullah83@hotmail.com,550510-32-9561,014-8059679,4984,12150.99,0,0,0,Retired,Bangsar,10,3025.28,Not Fraud
Fatimah binti bin Abdullah,fatimah..abdullah70@msn.com,971119-07-3914,014-83760755,20518.98,17330.82,144339.23,498,5,Business Owner,Cheras,3,158.41,Not Fraud
Azizah binti binti Abdullah,azizah..abdullah56@gmail.com,820201-43-7358,019-3866126,12588,45449.28,0,288,0,Accountant,Bangsar,4,3434.12,Not Fraud
Ng bin Wei Kang,ng.wei.kang2@gmail.com,951127-11-4667,012-7759623,14410.96,80911.36,118004.83,156,4,Doctor,Cheras,9,3721.17,Not Fraud
Sharifah binti Khairul,sharifah.khairul29@yahoo.com,570927-34-6678,016-2164453,0.0,0,11636.34,0,0,Unemployed,Kuala Lumpur City Centre,10,3673.29,Fraud
Azizah binti Ismail,azizah.ismail10@outlook.my,970411-08-8922,018-53397169,0,16939.5,0,0,0,Unemployed,Bangsar,11,1958.48,Fraud
Ng bin Kok Leong,ng.kok.leong68@hotmail.com,981212-14-9679,012-48522411,24809.43,0,0,0,0,Doctor,Damansara Heights,9,1197.32,Not Fraud
Ganesh bin Suresh,ganesh.suresh51@yahoo.com,580713-29-4971,013-9940378,7777,0,45966.42,0,0,Teacher,Petaling Jaya,2,3306.7,Not Fraud
Siti binti Muhammad,siti.muhammad62@gmail.com,050221-47-1638,017-53418977,31515.32,42263.35,0,418,0,Business Owner,Damansara Heights,7,3909.39,Not Fraud
Sharifah binti Ali,sharifah.ali7@gmail.com,500529-32-6572,018-1605870,12369.89,36571.24,161760.19,0,4,Sales Manager,Damansara Heights,5,485.24,Not Fraud
Tan binti Pei Shan,tan.pei.shan87@msn.com,561206-26-6402,016-8986398,0.0,21453.7,197233.87,0,0,Unemployed,Mont Kiara,10,2139.95,Fraud
Goh bin Ah Meng,goh.ah.meng11@msn.com,791107-46-5013,016-97284579,13405,19156.02,0,0,0,Doctor,Subang Jaya,1,1219.1,Not Fraud
Lee binti Xin Yi,lee.xin.yi5@gmail.com,010924-07-4178,012-39526454,6087,38600.21,80863.06,0,0,Teacher,Subang Jaya,3,2741.91,Fraud
Teoh binti Yee Von,teoh.yee.von7@msn.com,651210-46-6150,017-3950693,19724.39,0,0,0,3,Doctor,Kuala Lumpur City Centre,7,392.79,Not Fraud
Yap bin Wei Lun,yap.wei.lun30@hotmail.com,931021-24-4545,011-52135326,0,9865.56,42331.4,194,0,Unemployed,Petaling Jaya,3,4071.58,Not Fraud
Razak bin Khairul,razak.khairul21@msn.com,521107-52-5023,019-77179017,31967.54,35573.07,144980.43,50,0,Business Owner,Mont Kiara,1,717.72,Not Fraud
Sharifah binti Abdullah,sharifah.abdullah53@gmail.com,030523-07-8742,012-89211116,13833.74,0,176412.19,0,2,Teacher,Mont Kiara,2,4968.0,Not Fraud
